CHILD 1 offset: 0 us | synced: 4.000000 ms
CHILD 1 offset: -1000 us | synced: 15006.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 4.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 15008.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 30014.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 45019.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 60024.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 75030.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 90035.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 105040.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 120046.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 135051.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 150056.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 165062.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 180067.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 195073.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 210078.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 225084.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 240089.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 255095.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 270100.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 285106.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 300111.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 315116.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 330122.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 345127.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 360133.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 375138.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 390144.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 405149.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 420155.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 435160.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 450166.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 465171.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 480176.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 495182.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 510187.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 525193.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 540198.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 555204.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 570209.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 585215.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 600220.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 615226.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 630231.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 645236.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 660242.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 675247.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 690253.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 705258.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 720264.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 735269.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 750275.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 765280.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 780286.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 795291.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 810296.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 825302.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 840307.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 855313.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 870318.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 885324.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 900329.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 915335.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 930340.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 945346.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 960351.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 975356.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 990362.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1005367.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1020373.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1035379.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1050384.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1065390.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1080395.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1095401.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1110407.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1125412.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1140418.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1155423.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1170429.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1185435.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1200440.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1215446.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1230451.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1245457.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1260463.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1275468.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1290474.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1305479.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1320485.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1335491.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1350496.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1365502.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1380507.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1395513.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1410519.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1425524.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1440530.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1455535.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1470541.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1485547.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1500552.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1515558.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1530563.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1545569.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1560575.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1575580.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1590586.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1605591.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1620597.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1635603.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1650608.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1665614.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1680619.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1695625.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1710631.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1725636.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1740642.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1755647.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1770653.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1785659.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1800664.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1815670.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1830675.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1845681.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1860687.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1875692.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1890698.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1905703.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1920709.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1935715.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1950720.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1965726.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1980731.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1995737.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2010743.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2025748.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2040754.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2055759.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2070765.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2085771.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2100776.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2115782.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2130787.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2145793.000000 ms
