CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 4.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 15008.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 30014.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 45019.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 60024.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 75030.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 90035.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 105040.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 120046.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 135051.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 150057.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 165062.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 180068.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 195073.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 210079.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 225084.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 240090.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 255095.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 270101.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 285106.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 300112.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 315117.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 330123.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 345128.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 360134.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 375139.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 390145.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 405150.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 420156.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 435161.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 450167.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 465172.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 480178.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 495183.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 510189.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 525194.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 540200.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 555205.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 570211.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 585216.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 600222.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 615227.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 630233.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 645238.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 660244.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 675249.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 690255.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 705260.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 720266.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 735271.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 750277.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 765282.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 780288.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 795293.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 810299.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 825304.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 840310.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 855315.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 870321.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 885326.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 900332.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 915337.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 930343.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 945348.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 960354.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 975359.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 990365.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1005370.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1020376.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1035381.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1050387.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 1065393.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 1080398.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1095404.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1110409.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1125415.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 1140421.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 1155426.000000 ms
