CHILD 1 offset: 0 us | pulse_to_spi: 405 us | synced: 4.132000 ms
CHILD 1 offset: 10 us | pulse_to_spi: 329 us | synced: 15008.818000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 30014.114000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 45019.414000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 331 us | synced: 60024.714000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 75030.014000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 90035.314000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 105040.614000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 120046.014000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 135051.414000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 150056.914000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 165062.314000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 180067.814000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 329 us | synced: 195073.214000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 210078.714000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 225084.114000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 330 us | synced: 240089.614000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 255095.114000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 329 us | synced: 270100.514000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 285106.014000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 300111.414000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 315116.914000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 330122.314000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 345127.814000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 330 us | synced: 360133.214000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 375138.714000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 390144.114000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 405149.614000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 330 us | synced: 420155.014000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 435160.514000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 450166.014000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 465171.414000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 480176.914000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 330 us | synced: 495182.314000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 510187.814000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 525193.214000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 540198.714000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 555204.114000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 570209.614000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 585215.014000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 600220.514000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 615225.914000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 630231.414000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 645236.814000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 660242.314000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 675247.814000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 690253.214000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 705258.714000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 720264.114000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 735269.614000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 750275.014000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 329 us | synced: 765280.514000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 780285.914000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 795291.414000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 330 us | synced: 810296.814000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 330 us | synced: 825302.314000 ms
CHILD 1 offset: 41 us | pulse_to_spi: 329 us | synced: 840307.714000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 329 us | synced: 855313.214000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 329 us | synced: 870318.714000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 329 us | synced: 885324.114000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 330 us | synced: 900329.614000 ms
CHILD 1 offset: 40 us | pulse_to_spi: 329 us | synced: 915335.014000 ms
CHILD 1 offset: 39 us | pulse_to_spi: 330 us | synced: 930340.514000 ms
