*** Booting Zephyr OS build zephyr-v40201 ***
child: configured CHILD_ID=1
CHILD 1 offset: 0 us | pulse_to_spi: 404 us | synced: 4.171000 ms
CHILD 1 offset: 19 us | pulse_to_spi: 332 us | synced: 15008.920000 ms
CHILD 1 offset: 54 us | pulse_to_spi: 329 us | synced: 30014.217000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 329 us | synced: 45019.517000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 60024.817000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 330 us | synced: 75030.117000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 90035.417000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 105040.717000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 329 us | synced: 120046.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 135051.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 150057.217000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 165062.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 180068.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 195073.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 210079.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 225084.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 240090.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 255095.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 270101.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 285106.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 300112.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 315117.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 330123.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 345128.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 360134.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 375139.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 390145.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 405150.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 420156.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 435161.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 450167.217000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 465172.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 480178.217000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 495183.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 510189.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 525194.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 540200.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 555205.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 570211.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 585216.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 600222.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 615227.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 630233.217000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 645238.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 660244.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 675249.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 690255.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 705260.717000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 720266.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 735271.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 750277.217000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 765282.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 780288.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 795293.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 810299.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 825304.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 840310.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 855315.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 870321.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 885326.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 900332.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 915337.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 930343.217000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 945348.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 960354.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 975359.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 990365.217000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1005370.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1020376.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1035381.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1050387.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1065393.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1080398.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1095404.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1110409.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 1125415.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1140421.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1155426.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1170432.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1185437.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1200443.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1215449.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1230454.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1245460.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1260465.917000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 1275471.517000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1290477.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1305482.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1320488.317000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 1335493.917000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 329 us | synced: 1350499.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1365505.117000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 329 us | synced: 1380510.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1395516.317000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1410521.917000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1425527.517000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1440533.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1455538.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1470544.317000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1485549.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1500555.517000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1515561.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1530566.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1545572.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1560577.917000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1575583.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1590589.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1605594.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1620600.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1635605.917000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1650611.517000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1665617.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1680622.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1695628.317000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1710633.917000 ms
